Index,Cement (kg/m3),SF (kg/m3),BFS (kg/m3),FA (kg/m3),QP (kg/m3),LSP (kg/m3),NS (kg/m3),Fiber (kg/m3),Sand (kg/m3),Gravel (kg/m3),Water (kg/m3),SP (kg/m3),T (oC),RH (%),Age (days),Unnamed: 16,fc (MPa)
1,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,90,,170.0
2,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,90,,170.0
3,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,90,,169.0
4,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,126.0,18.0,20,95,90,,168.0
5,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,144.0,18.0,20,95,90,,172.0
6,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,90,,169.0
7,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,144.0,18.0,20,95,90,,172.0
8,450.0,90.0,180.0,0.0,0.0,180.0,0.0,0.0,616.0,923,144.0,18.0,20,95,90,,176.0
9,270.0,90.0,180.0,0.0,0.0,360.0,0.0,0.0,616.0,923,144.0,18.0,20,95,90,,150.0
10,630.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,1073,126.0,18.0,20,95,180,,167.0
11,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,180,,174.0
12,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,180,,174.0
13,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,180,,170.0
14,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,126.0,18.0,20,95,180,,168.0
15,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,144.0,18.0,20,95,180,,175.0
16,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,180,,170.0
17,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,144.0,18.0,20,95,180,,175.0
18,450.0,90.0,180.0,0.0,0.0,180.0,0.0,0.0,616.0,923,144.0,18.0,20,95,180,,179.0
19,630.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,1073,126.0,18.0,20,95,365,,169.0
20,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,365,,177.0
21,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,365,,177.0
22,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,365,,174.0
23,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,126.0,18.0,20,95,365,,168.0
24,450.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,797.0,1195,90.0,18.0,20,95,28,,131.0
25,630.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,1073,126.0,18.0,20,95,28,,135.0
26,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,28,,137.0
27,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,28,,137.0
28,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,126.0,18.0,20,95,28,,150.0
29,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,144.0,18.0,20,95,28,,142.0
30,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,144.0,18.0,20,95,28,,142.0
31,450.0,90.0,180.0,0.0,0.0,180.0,0.0,0.0,616.0,923,144.0,18.0,20,95,28,,150.0
32,270.0,90.0,180.0,0.0,0.0,360.0,0.0,0.0,616.0,923,144.0,18.0,20,95,28,,130.0
33,450.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,797.0,1195,90.0,18.0,20,95,56,,139.0
34,630.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,1073,126.0,18.0,20,95,56,,146.0
35,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,56,,150.0
36,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,56,,150.0
37,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,56,,141.0
38,450.0,90.0,360.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,56,,133.0
39,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,126.0,18.0,20,95,56,,159.0
40,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,144.0,18.0,20,95,56,,160.0
41,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,56,,141.0
42,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,144.0,18.0,20,95,56,,160.0
43,450.0,90.0,180.0,0.0,0.0,180.0,0.0,0.0,616.0,923,144.0,18.0,20,95,56,,161.0
44,450.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,797.0,1195,90.0,18.0,20,95,90,,151.0
45,630.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,1073,126.0,18.0,20,95,90,,160.0
46,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,144.0,18.0,20,95,365,,178.0
47,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,162.0,18.0,20,95,365,,174.0
48,630.0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,616.0,923,144.0,18.0,20,95,365,,178.0
49,699.9,43.7,0.0,0.0,175.0,0.0,0.0,195.0,1273.4,0,202.1,45.9,21,100,28,,148.32
50,729.0,124.0,0.0,0.0,397.0,0.0,0.0,156.0,833.0,0,170.0,30.0,23,100,28,,166.1
51,401.0,124.0,328.0,0.0,397.0,0.0,0.0,156.0,833.0,0,170.0,30.0,23,100,28,,139.4
52,439.5,0.0,0.0,0.0,175.9,263.7,0.0,0.0,1273.4,0,175.8,43.9,21,100,3,,49.61
53,435.1,0.0,0.0,0.0,175.9,263.7,4.4,0.0,1273.4,0,175.8,43.9,21,100,3,,50.87
54,430.7,0.0,0.0,0.0,175.9,263.7,8.8,0.0,1273.4,0,175.8,43.9,21,100,3,,54.96
55,426.3,0.0,0.0,0.0,175.9,263.7,13.2,0.0,1273.4,0,175.8,43.9,21,100,3,,56.85
56,421.9,0.0,0.0,0.0,175.9,263.7,17.6,0.0,1273.4,0,175.8,43.9,21,100,3,,57.17
57,417.5,0.0,0.0,0.0,175.9,263.7,22.0,0.0,1273.4,0,175.8,43.9,21,100,3,,55.91
58,435.1,0.0,0.0,0.0,175.9,263.7,4.4,195.0,1273.4,0,175.8,43.9,21,100,3,,70.35
59,430.7,0.0,0.0,0.0,175.9,263.7,8.8,195.0,1273.4,0,175.8,43.9,21,100,3,,72.84
60,426.3,0.0,0.0,0.0,175.9,263.7,13.2,195.0,1273.4,0,175.8,43.9,21,100,3,,78.44
61,421.9,0.0,0.0,0.0,175.9,263.7,17.6,195.0,1273.4,0,175.8,43.9,21,100,3,,79.69
62,417.5,0.0,0.0,0.0,175.9,263.7,22.0,195.0,1273.4,0,175.8,43.9,21,100,3,,77.82
63,430.7,0.0,0.0,0.0,175.9,263.7,8.8,0.0,1273.4,0,175.8,43.9,21,100,7,,65.98
64,426.3,0.0,0.0,0.0,175.9,263.7,13.2,0.0,1273.4,0,175.8,43.9,21,100,7,,68.82
65,421.9,0.0,0.0,0.0,175.9,263.7,17.6,0.0,1273.4,0,175.8,43.9,21,100,7,,69.13
66,417.5,0.0,0.0,0.0,175.9,263.7,22.0,0.0,1273.4,0,175.8,43.9,21,100,7,,65.35
67,439.5,0.0,0.0,0.0,175.9,263.7,0.0,195.0,1273.4,0,175.8,43.9,21,100,7,,90.89
